text,label,label_id,target
I am able to stand up for myself.,neuroticism,0,1
I often eat too much.,neuroticism,0,1
I go on binges.,neuroticism,0,0
I love to eat.,neuroticism,0,1
I feel that I am unable to deal with things.,neuroticism,0,0
I readily overcome setbacks.,neuroticism,0,0
I enjoy being part of a group.,extraversion,2,0
I involve others in what I am doing.,extraversion,2,1
I love surprise parties.,extraversion,2,0
I avoid crowds.,extraversion,2,1
I seek to influence others.,extraversion,2,0
I take control of things.,extraversion,2,1
I am always on the go.,extraversion,2,1
I can manage many things at the same time.,extraversion,2,1
I react quickly.,extraversion,2,1
I like to take it easy.,extraversion,2,1
I like to take my time.,extraversion,2,1
I let things proceed at their own pace.,extraversion,2,1
I react slowly.,extraversion,2,0
I love excitement.,extraversion,2,0
I seek adventure.,extraversion,2,0
I love action.,extraversion,2,1
I am willing to try anything once.,extraversion,2,0
I would never go hang gliding or bungee jumping.,extraversion,2,1
I dislike loud music.,extraversion,2,1
I amuse my friends.,extraversion,2,1
I am not easily amused.,extraversion,2,0
I love to daydream.,openness,3,1
I indulge in my fantasies.,openness,3,1
I am passionate about causes.,openness,3,0
I like to visit new places.,openness,3,0
I am interested in many things.,openness,3,1
I like to begin new things.,openness,3,0
I prefer to stick with things that I know.,openness,3,0
I dislike changes.,openness,3,1
I do not like the idea of change.,openness,3,1
I dislike new foods.,openness,3,0
I believe in one true religion.,openness,3,0
I believe that we coddle criminals too much.,openness,3,1
I believe that we should be tough on crime.,openness,3,1
I think that all will be well.,agreeableness,4,1
I distrust people.,agreeableness,4,0
I am wary of others.,agreeableness,4,1
I believe that people are essentially evil.,agreeableness,4,1
I use flattery to get ahead.,agreeableness,4,1
I obstruct others plans.,agreeableness,4,1
I look down on others.,agreeableness,4,0
I make people feel uncomfortable.,agreeableness,4,1
I yell at people.,agreeableness,4,0
I seldom toot my own horn.,agreeableness,4,0
I have a high opinion of myself.,agreeableness,4,1
I come up with good solutions.,conscientiousness,1,0
I know how to get things done.,conscientiousness,1,0
I misjudge situations.,conscientiousness,1,0
I have little to contribute.,conscientiousness,1,0
I do not see the consequences of things.,conscientiousness,1,1
I keep my promises.,conscientiousness,1,0
I pay my bills on time.,conscientiousness,1,1
I tell the truth.,conscientiousness,1,1
I break my promises.,conscientiousness,1,0
I get others to do my duties.,conscientiousness,1,1
I misrepresent the facts.,conscientiousness,1,0
I go straight for the goal.,conscientiousness,1,1
I plunge into tasks with all my heart.,conscientiousness,1,0
I avoid mistakes.,conscientiousness,1,0
I choose my words with care.,conscientiousness,1,1
I stick to my chosen path.,conscientiousness,1,0
I rush into things.,conscientiousness,1,1
I get easily agitated.,neuroticism,0,0
I am easily discouraged.,neuroticism,0,0
I am afraid of many things.,neuroticism,0,0
